Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,Postal Code,Outcode,log_price,price_band
1300000,House,1890,5,,london,SW12 8BW,SW12,14.077874822431765,5
625000,House,1348,4,kidbrooke,london,SE7 8PP,SE7,13.345506928718539,1
625000,Flat / Apartment,540,1,clerkenwell,london,EC1N 8TE,EC1N,13.345506928718539,1
1100000,New development,791,2,westminster,london,SW1P 2BN,SW1P,13.9108207377686,4
5950000,House,2646,4,,london,SW3 1RE,SW3,15.598901777521812,9
1325000,House,1375,4,,london,SW11 6LL,SW11,14.09692301740246,5
1250000,Flat / Apartment,1068,2,,london,SW10 9JY,SW10,14.038654109278484,5
2300000,House,1119,3,,london,SW3 6DB,SW3,14.648419680899378,7
1500000,House,1811,4,hackney,london,E8 1DQ,E8,14.22097566607244,6
1350000,House,1603,5,,london,SW12 0HD,SW12,14.115615150414612,5
799995,Flat / Apartment,942,3,canary wharf,london,E14 9BL,E14,13.592360756630534,2
795000,Flat / Apartment,495,1,,london,W2 5QT,W2,13.58609739363647,2
525000,House,829,2,woodford green,essex,IG8 7NP,IG8,13.17115354157376,0
2595000,House,2120,5,fulham,london,SW6 4UP,SW6,14.769097074582126,8
820000,Flat / Apartment,631,2,westminster,london,SW1P 3DS,SW1P,13.617059619240436,3
1200000,House,2108,4,surbiton,surrey,KT5 8QE,KT5,13.997832114758229,4
680000,Flat / Apartment,705,2,,london,W6 0AP,W6,13.42984807715229,2
2300000,House,1956,3,,london,SW6 3SU,SW6,14.648419680899378,7
2300000,House,2083,5,barnes,london,SW13 0DS,SW13,14.648419680899378,7
4000000,House,3714,5,barnes,london,SW13 9RR,SW13,15.201804919084164,9
500000,Flat / Apartment,516,2,,london,SW11 5SQ,SW11,13.122363377404328,0
1275000,Flat / Apartment,1185,3,little venice,london,W9 2PZ,W9,14.058456736574664,5
4500000,House,2972,3,,london,W8 6PG,W8,15.319587954740548,9
1750000,House,2125,4,hampstead,london,NW11 7SY,NW11,14.375126345899696,6
2600000,House,2350,4,hampstead,london,NW3 2RU,NW3,14.77102200299171,8
3450000,House,2354,4,hampstead,london,NW3 7LW,NW3,15.053884789007542,8
2350000,House,2183,5,,london,SW11 4PR,SW11,14.669925886120343,7
2375000,Flat / Apartment,1218,2,st jamess,london,SW1E 6LB,SW1E,14.68050799545088,7
1995000,House,1841,5,wimbledon,london,SW19 7EA,SW19,14.506154608306101,7
1000000,House,1154,4,south hackney,london,E9 7BY,E9,13.815510557964274,4
1795000,House,2314,5,,london,SW4 9HG,SW4,14.400515579904516,6
687500,New development,1178,3,,london,SE17 3BD,SE17,13.440817108522863,2
2450000,House,1483,3,,london,W1H 5HW,W1H,14.71159858252091,7
3500000,Flat / Apartment,1770,2,strand,london,WC2R 0NR,WC2R,15.068273526459642,8
1225000,New development,2487,5,loughton,essex,IG10 2SA,IG10,14.018451401960965,5
850000,Flat / Apartment,773,2,barnsbury,london,N1 1BJ,N1,13.652991628466498,3
780000,Flat / Apartment,654,2,,london,NW3 4HL,NW3,13.567049198665774,2
399950,New development,697,2,esher,surrey,KT10 9FN,KT10,12.899094818276968,0
1499950,House,2982,5,surbiton,surrey,KT6 6PP,KT6,14.220942332183537,6
900000,House,1081,3,,london,SW14 8JP,SW14,13.710150042306449,3
2500000,House,3986,6,,london,SW17 8RR,SW17,14.73180128983843,8
575000,Flat / Apartment,773,2,chiswick,london,W4 4AG,W4,13.262125319779487,1
1250000,House,1708,5,,london,SW8 3TA,SW8,14.038654109278484,5
1575000,Flat / Apartment,1580,3,prince of wales drive,london,SW11 4EZ,SW11,14.269765830241871,6
4750000,House,6602,6,wimbledon,london,SW19 5JZ,SW19,15.373655176010823,9
1175000,House,1909,4,putney,london,SW15 6ES,SW15,13.976778705560397,4
695000,House,1337,3,loughton,essex,IG10 4BU,IG10,13.45166712454693,2
1200000,House,1771,4,,london,SW18 3TF,SW18,13.997832114758229,4
1700000,House,2374,5,wandsworth,london,SW18 3NH,SW18,14.346138809026444,6
1000000,House,2125,2,ladbroke grove,london,W11 1PS,W11,13.815510557964274,4
1635000,New development,903,2,city of london,london,EC1A 9DS,EC1A,14.30715336231349,6
625000,Flat / Apartment,902,2,esher,surrey,KT10 8AP,KT10,13.345506928718539,1
1850000,House,3753,6,,london,SW16 2BZ,SW16,14.430696197054507,6
2400000,Flat / Apartment,1736,4,bayswater,london,W2 4SN,W2,14.690979295318174,7
1200000,New development,590,1,south bank,london,SE1 7NJ,SE1,13.997832114758229,4
785000,New development,1173,2,downs road,london,E5 8DS,E5,13.573438996764546,2
1250000,House,1298,2,,london,SW6 7EU,SW6,14.038654109278484,5
2300000,House,1912,3,fulham,london,SW6 3SS,SW6,14.648419680899378,7
1800000,New development,3877,4,esher,surrey,KT10 0TX,KT10,14.403297222866392,6
1300000,Flat / Apartment,1465,3,woodstock road,london,W4 1DP,W4,14.077874822431765,5
1750000,House,1580,4,fulham,london,SW6 5NA,SW6,14.375126345899696,6
1495000,House,2300,4,,london,SW19 5HR,SW19,14.217636764806924,5
1855000,House,2917,5,kingston upon thames,surrey,KT2 7RD,KT2,14.433395254023672,7
1625000,House,1953,4,,london,SW18 2QF,SW18,14.301018373745976,6
3150000,House,1449,3,,london,SW3 2LE,SW3,14.962913010801817,8
5250000,House,4745,7,richmond,surrey,TW9 1LW,TW9,15.473738634567807,9
6000000,House,4798,6,richmond,surrey,TW10 6QW,TW10,15.60727002719233,9
1395000,House,1902,5,putney,london,SW15 6FF,SW15,14.148404973237604,5
1385000,Flat / Apartment,2056,3,putney,london,SW15 5LX,SW15,14.141210697603576,5
800000,Flat / Apartment,922,2,,london,SW4 9DX,SW4,13.592367006650065,2
3695000,House,2316,4,st jamess,london,SW1Y 6JT,SW1Y,15.12249111236444,9
